"country_code,page,acq_weekly_traffic"
"BD,Checkout,28735.0"
"JP,PayPal Home,155307.0"
"GR,Checkout,8047.0"
"ZA,Checkout,19228.0"
"GT,Checkout,4440.0"
"SK,PayPal Home,11524.0"
"HK,Checkout,22499.0"
"AT,Checkout,22839.0"
"GY,PayPal Home,5070.0"
"HR,Checkout,5552.0"
"ES,Checkout,99305.0"
"JE,PayPal Home,844.0"
"ZM,PayPal Home,4310.0"
"GP,PayPal Home,1340.0"
"SI,PayPal Home,6546.0"
"LU,PayPal Home,4342.0"
"NO,PayPal Home,18695.0"
"ZA,PayPal Home,30214.0"
"EC,Checkout,13132.0"
"PH,Checkout,74208.0"
"MY,PayPal Home,30067.0"
"ES,PayPal Home,162455.0"
"AR,Checkout,39053.0"
"UZ,PayPal Home,1938.0"
"KZ,Checkout,3775.0"
"KW,PayPal Home,5781.0"
"MU,Checkout,1657.0"
"CO,PayPal Home,72083.0"
"PS,PayPal Home,4150.0"
"VE,Checkout,18769.0"
"AE,PayPal Home,17668.0"
"CL,Checkout,22037.0"
"UA,Checkout,8069.0"
"HR,PayPal Home,11507.0"
"PE,Checkout,25021.0"
"TN,PayPal Home,7690.0"
"GA,PayPal Home,523.0"
"CO,Checkout,49073.0"
"BR,PayPal Home,240087.0"
"MD,Checkout,2208.0"
"CI,Checkout,1022.0"
"NI,PayPal Home,2788.0"
"LY,PayPal Home,2495.0"
"KE,Checkout,20976.0"
"LU,Checkout,1213.0"
"RE,PayPal Home,2778.0"
"MT,PayPal Home,2655.0"
"CZ,Checkout,6128.0"
"SI,Checkout,2989.0"
"LK,PayPal Home,7220.0"
"BA,Checkout,2921.0"
"IN,Customer Merchant Home,1108.0"
"MX,PayPal Home,206909.0"
"PR,PayPal Home,11427.0"
"AZ,Checkout,887.0"
"MG,PayPal Home,1239.0"
"JP,Checkout,119067.0"
"CD,PayPal Home,1078.0"
"DK,Checkout,4238.0"
"BB,PayPal Home,1065.0"
"CW,PayPal Home,730.0"
"CY,Checkoutn,1568.0"
"DZ,PayPal Home,20509.0"
"GH,Checkout,7877.0"
"BF,PayPal Home,579.0"
"SN,Checkout,924.0"
"MM,PayPal Home,2987.0"
"TZ,PayPal Home,2558.0"
"KG,PayPal Home,1467.0"
"SN,PayPal Home,2073.0"
"SE,Checkout,10305.0"
"SA,Checkout,40209.0"
"GH,PayPal Home,10018.0"
"IT,Checkout,80615.0"
"RU,PayPal Home,164288.0"
"KR,PayPal Home,50518.0"
"IS,PayPal Home,1778.0"
"LC,PayPal Home,585.0"
"US,Customer Merchant Home,47543.0"
"PH,PayPal Home,107024.0"
"YE,Checkout,597.0"
"ME,PayPal Home,902.0"
"MK,Checkout,551.0"
"RO,PayPal Home,37918.0"
"MQ,PayPal Home,1377.0"
"SA,PayPal Home,44990.0"
"MG,Checkout,576.0"
"GP,Checkout,833.0"
"DK,PayPal Home,18791.0"
